move,0o,1o,2o,3o,4o,5o,6o,7o,8o,0e,1e,2e,3e,4e,5e,6e,7e,8e,0x,1x,2x,3x,4x,5x,6x,7x,8x
3,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False
8,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False
7,False,False,False,False,False,False,False,True,True,False,True,True,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False
3,False,False,False,True,False,False,False,True,True,False,True,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False
1,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False,False,True,True,True,False,False,True,False,False,False
2,False,False,True,False,False,False,False,False,False,True,True,False,True,True,False,True,True,True,False,False,False,False,False,True,False,False,False
7,False,False,True,False,False,False,False,True,False,True,True,False,True,False,False,True,False,True,False,False,False,False,True,True,False,False,False
3,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,True,True,False,False,False
4,False,False,False,False,True,False,False,False,False,True,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False
6,False,False,False,False,True,False,True,False,False,True,False,True,True,False,True,False,False,True,False,True,False,False,False,False,False,True,False
8,False,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False
3,False,False,False,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False
0,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,True,False
5,False,False,False,False,False,True,False,False,False,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,True
1,False,True,False,False,False,True,False,False,False,False,False,True,True,True,False,True,True,False,True,False,False,False,False,False,False,False,True
4,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,True,False,True,False,False,False,True,False,False,False,True
8,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False
6,False,False,False,False,False,False,True,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False
1,False,False,False,False,False,False,True,False,True,True,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False
1,False,True,False,False,False,False,False,False,False,True,False,True,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False
4,False,True,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False
0,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,True,True,False,False
3,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,True,False
8,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True
8,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False
5,False,False,False,False,False,True,False,False,True,True,True,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,False
6,False,False,False,False,False,True,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,True,False,False,False,False,False
1,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False,True,True,True,True,False,False,False,False,False
0,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,True,False
3,True,False,False,True,False,False,False,False,False,False,True,True,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False
8,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False
1,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,True,False
6,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False
2,False,False,True,False,False,False,False,False,False,True,True,False,True,False,True,True,True,True,False,False,False,False,True,False,False,False,False
6,False,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False
5,False,False,True,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True
7,False,False,True,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True
0,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,True
3,False,False,False,True,False,False,False,False,False,True,True,True,False,False,True,True,True,True,False,False,False,False,True,False,False,False,False
6,False,False,False,True,False,False,True,False,False,True,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
5,False,False,False,True,False,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True
0,False,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True
8,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False
0,True,False,False,False,False,False,False,False,True,False,False,True,True,True,True,False,True,False,False,True,False,False,False,False,True,False,False
2,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False
7,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,True,False
0,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True
3,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,True,True,False,False,True,False,False,False,False,False,False,True
5,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True
7,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True
0,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False
3,True,False,False,True,False,False,False,False,False,False,True,True,False,True,True,False,False,True,False,False,False,False,False,False,True,True,False
8,True,False,False,True,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True
4,False,False,False,False,True,False,False,False,False,True,True,False,True,False,True,True,True,True,False,False,True,False,False,False,False,False,False
0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,True,True,False,False,True,True,False,False,False,False,False
1,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,True,False,False,False
8,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,True,False,False,True
6,False,False,False,False,False,False,True,False,False,True,True,True,False,True,True,False,True,True,False,False,False,True,False,False,False,False,False
2,False,False,True,False,False,False,True,False,False,True,True,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,True
0,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,True
5,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,True
3,False,False,False,True,False,False,False,False,False,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True
5,False,False,False,True,False,True,False,False,False,True,True,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True
0,True,False,False,True,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True
1,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,True
2,False,False,True,False,False,False,False,False,False,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True
3,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,True
0,True,False,True,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,True
6,True,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True
7,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False
1,False,True,False,False,False,False,False,True,False,True,False,True,True,False,False,True,False,True,False,False,False,False,True,True,False,False,False
2,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,True,False,False,False,True,True,False,False,False
3,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,True,False,False,False
3,False,False,False,True,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False
6,False,False,False,True,False,False,True,False,False,False,True,True,False,True,True,False,True,False,True,False,False,False,False,False,False,False,True
2,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True
4,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,True
8,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False
2,False,False,True,False,False,False,False,False,True,True,False,False,True,True,True,True,False,False,False,True,False,False,False,False,False,True,False
6,False,False,True,False,False,False,True,False,True,False,False,False,True,True,True,False,False,False,True,True,False,False,False,False,False,True,False
4,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,True,False
7,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
3,False,False,False,True,False,False,False,True,False,False,True,True,False,True,True,True,False,False,True,False,False,False,False,False,False,False,True
1,False,True,False,True,False,False,False,True,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,True,False,True
4,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True
0,True,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,True,False,False,False,False,True,False,False,False,False
5,True,False,False,False,False,True,False,False,False,False,True,True,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False
3,True,False,False,True,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True
1,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,True
6,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True
8,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False
5,False,False,False,False,False,True,False,False,True,True,False,True,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False
6,False,False,False,False,False,True,True,False,True,True,False,True,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False
7,False,False,False,False,False,True,True,False,True,True,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False
3,False,False,False,True,False,False,False,False,False,True,True,True,False,True,True,True,False,True,False,False,False,False,False,False,False,True,False
0,True,False,False,True,False,False,False,False,False,False,True,True,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False
1,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,True,False,False,True,False
8,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,True,False
6,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False
6,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False
5,False,False,False,False,False,True,True,False,False,False,True,False,True,True,False,False,True,True,True,False,True,False,False,False,False,False,False
1,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,True,True,False,True,False,False,False,False,True,False
3,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,True,False
8,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True
0,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True
4,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,True,False,False,True
7,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True
2,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,True
1,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
2,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,False,False,False,False,False,True,False,False
3,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,False,False,True,False,False,True,False,False
7,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False
2,False,False,True,False,False,False,False,True,False,False,True,False,True,True,False,True,False,True,True,False,False,False,False,True,False,False,False
6,False,False,True,False,False,False,True,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,True
3,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True
4,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,True
3,False,False,False,True,False,False,False,False,False,True,True,True,False,True,True,False,True,True,False,False,False,False,False,False,True,False,False
1,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False
7,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False
0,True,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True
2,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,True
6,False,False,False,False,False,False,True,False,False,True,True,True,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False
8,False,False,False,False,False,False,True,False,True,True,False,True,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False
5,False,False,False,False,False,True,True,False,True,False,False,True,True,False,False,False,True,False,True,True,False,False,True,False,False,False,False
2,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,True,False,True,True,True,False,True,False,False,False,False
0,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False
3,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,False,True,False,False,False,True,False,False
7,True,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,True
4,True,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,True
5,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,True
8,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,True,False,False
0,True,False,False,False,False,False,False,False,True,False,True,False,True,True,True,False,True,False,False,False,True,False,False,False,True,False,False
5,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False
4,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,True,False,True,False,False
6,False,False,False,False,False,False,True,False,False,True,True,True,False,True,True,False,True,True,False,False,False,True,False,False,False,False,False
7,False,False,False,False,False,False,True,True,False,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True
0,True,False,False,False,False,False,True,True,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True
4,True,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True
2,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True
1,False,True,False,False,False,False,False,False,False,True,False,True,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False
4,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False,True,False,False
5,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,True,False,False,True,False,False
0,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,False,False,True,False,False
2,False,False,True,False,False,False,False,False,False,True,True,False,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False
3,False,False,True,True,False,False,False,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,False,True,True,False
5,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False
8,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,True
4,False,False,False,False,True,False,False,False,False,True,True,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False
8,False,False,False,False,True,False,False,False,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False
7,False,False,False,False,True,False,False,True,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False
3,False,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False
2,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False
3,False,False,False,True,False,False,False,False,False,True,False,True,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False
5,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False,False,True
2,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,True,False,False,False,False,False,False,True
6,False,False,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,True
4,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,True
4,False,False,False,False,True,False,False,False,False,True,True,True,True,False,True,True,False,True,False,False,False,False,False,False,False,True,False
1,False,True,False,False,True,False,False,False,False,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,True,True
5,False,True,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True
0,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True
6,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True
4,False,False,False,False,True,False,False,False,False,False,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False
5,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,True,True,True,False,False,True,False,False,False,False,False
8,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,True,False,True,True,False,True,False,False,False,False,False
2,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,True,False,True,True,True,True,False,False,False,False,False
6,False,False,False,False,False,False,True,False,False,True,True,True,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False
0,True,False,False,False,False,False,True,False,False,False,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True
7,True,False,False,False,False,False,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True
2,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,True
3,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,True
2,False,False,True,False,False,False,False,False,False,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True
3,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,True
6,False,False,True,True,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True
7,False,False,True,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True
0,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,True
1,False,True,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True
6,False,True,False,False,False,False,True,False,False,False,False,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True
4,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,False,True,False,True,False,False,False,True,False,False,False,True
5,False,False,False,False,False,True,False,False,False,True,True,True,True,False,False,True,True,True,False,False,False,False,True,False,False,False,False
8,False,False,False,False,False,True,False,False,True,True,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False
7,False,False,False,False,False,True,False,True,True,True,False,False,True,False,False,True,False,False,False,True,True,False,True,False,False,False,False
0,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,True,False,False,True,True,True,False,True,False,False,False,False
3,False,False,False,True,False,False,False,False,False,True,True,True,False,True,True,False,True,True,False,False,False,False,False,False,True,False,False
2,False,False,True,True,False,False,False,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,False,True,True,False
8,False,False,True,True,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True
3,False,False,False,True,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False
7,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,True,False,True,True,False,False,False,True,False,False,False,False
1,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,True,True,False,True,False,True,False,False,False,False
8,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,True,False,False,False
6,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,False,False
2,False,False,True,False,False,False,False,False,False,True,True,False,True,False,True,True,True,True,False,False,False,False,True,False,False,False,False
5,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,True,True,True,False,False,False,True,False,False,False,False
6,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,True,True,True,True,False,False,True,False,False,False,False
8,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,False,True
2,False,False,True,False,False,False,False,False,False,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True
3,False,False,True,True,False,False,False,False,False,True,True,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,True
7,False,False,True,True,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True
6,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False
7,False,False,False,False,False,False,True,True,False,False,True,True,True,True,False,False,False,True,True,False,False,False,False,True,False,False,False
3,False,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False,False,True,True,True,False,False,False,True,False,False,False
4,False,False,False,True,True,False,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True
2,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,True
7,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
3,False,False,False,True,False,False,False,True,False,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True
2,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True
0,True,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,True,False,False,False,False,True,False,False,False,False
2,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,True,False,True,False,False,False,False,True,False,False,True,False
3,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,True,False,True,False
1,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True,False,True,False
0,True,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False
1,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,False,False,False,False,False
8,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,True,True,True,False,False,False,False
6,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True,True,False,True,False,False
4,False,False,False,False,True,False,False,False,False,False,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False
6,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,True,True,False,True,False,False,False,False,False,False
1,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,True,False,True,False,False,True,False,False,False
3,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,True,False
8,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,True
4,False,False,False,False,True,False,False,False,False,True,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False
5,False,False,False,False,True,True,False,False,False,True,False,True,True,False,False,False,True,True,False,True,False,False,False,False,True,False,False
8,False,False,False,False,True,True,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False
0,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,True,True,False,True,False,False,True,False,False
1,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,False,False
7,False,True,False,False,False,False,False,True,False,False,False,True,True,False,True,True,False,True,True,False,False,False,True,False,False,False,False
2,False,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False
8,False,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True
5,False,False,False,False,False,True,False,False,False,True,False,True,True,True,False,True,True,True,False,True,False,False,False,False,False,False,False
7,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,True
6,False,False,False,False,False,True,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True
3,False,False,False,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True
0,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,True
7,False,False,False,False,False,False,False,True,False,True,True,True,True,False,True,True,False,True,False,False,False,False,True,False,False,False,False
3,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,True,False,True,True,False,False,False,True,False,False,False,False
8,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True
7,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False
8,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False
1,False,True,False,False,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False
2,False,True,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,True,False,False
3,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,False,False
2,False,False,True,False,False,False,False,False,False,True,True,False,True,False,True,True,True,True,False,False,False,False,True,False,False,False,False
7,False,False,True,False,False,False,False,True,False,True,True,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False
1,False,True,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True
0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True
7,False,False,False,False,False,False,False,True,False,True,True,True,True,False,True,True,False,True,False,False,False,False,True,False,False,False,False
6,False,False,False,False,False,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False
1,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False
3,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,True,True,False,False,False
